,textID,text,selected_text,sentiment
8354,0304b83113,  sorry to hear that. Is is a 365?,sorry,negative
8363,eb8fb65281, NAT!!! I'm going to miss you so badly,miss,negative
8365,d4fdca51c7, Rude.,Rude.,negative
8373,eb92578d33,Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad,Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad,negative
8381,9bb948129e,Going to bed watching a bit of qi. Wake up tomorrow to face the start of my last summer in bath. Bit gutted atm to be home,gutted,negative
8384,7b10fe51a5,why is it so hard to find good house events in the Sacramento area?,hard,negative
8387,91853a53c1," yea, feel like im bein ignored",ignored,negative
8402,bfe2aef006,leaving now  dont miss me too much tweetbeaks &lt;3,leaving now  dont miss me too much tweetbeaks &l,negative
8405,d4c6184863,Crappy Day...,Crappy,negative
8406,79cf6c8e4d,ok... finished all the Mikados  Should shut up now! lol,shut,negative
8408,03445b5ba3,My wife can't get on the guest list for tomorrows show because it doesn't exist. LAME. I guess no wife at the show.,LAME.,negative
8409,09df2b2855,Oh no adult school again,Oh no,negative
8410,9b98c263cd,I want the rain to go away! There has been too much of it lately,There has been too much of it,negative
8412,185d56dfc3,which was so UNLIKE the POs in oakland. they hated me,they hated me,negative
8416,f72f035c15,Just ate way to many chocolate animal crackers,way to many chocolate animal crackers,negative
8418,f931fbac26,funeral at 2.  today is going to be bad.,funeral at 2.  today is going to be bad.,negative
8420,6531e60a4b,is sad that shin ae got married...and it wasn't to alex,is sad th,negative
8422,2977740144,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,annoying,negative
8424,6d392e7d08,  I guess you are not interested !!,e not interested,negative
8427,908c222257," Grrr, people suck. I cry when animals die on nature shows.  These people are sick. No hunting endangered species!",suck.,negative
8432,d8d909d391, bad times?,bad times?,negative
8435,56535db7e9,I'm bummed that the  contest is only for the 48 states   What about Hawaii??,I'm bummed,negative
8438,686bde1e35,"Very bored. All day, no one 2 talk 2. Missing my BF (and his kisses). Hols almost over,  don't wanna go back 2 skool.","Very bored. All day, no one 2 talk 2. Missing my BF (and his kisses).",negative
8442,4c2b096989,half my class just called me retarded it hurt for real,it hurt for real,negative
8446,544485627a,Just dusted &amp; vacuumed apartment.  I think I need another new vacuum...my entire apartment is smoky.  I just bought this one from Kmart,cuum...my entire apartment is smo,negative
8448,3a3311f512, no not at all. I MISS GIRLFRIENDS!!!!  i have all the seasons.,. I MISS GIRLFRIENDS!!,negative
8450,998ff9e04c,"OMG, Tony Hawk's motion on the nintendo DS sucks ****!",sucks ****!,negative
8451,72b9f8f048, SICK! I'm totally getting GH5!! Too bad you guys didn't get to play in Boston,Too bad you guys didn't get to play in Boston,negative
8456,254254dfec,"thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in, i couldnt go tanning today",thanks to the forever 21 curse,negative
8457,90c8aa60db,"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them",hate wr,negative
8462,485e0a802f,Ok getting the pink stripey one it's the most subtle I'm a bit bored of the floral print! Ok?,I'm a bit bored,negative
8464,5da43b3792, Glad TS brought it! Sorry about ur foot shorty...ur gonna have to relax wit the heels,Sorry,negative
8467,7e6f5423b6,() Oh snap!  Just broke my windshield while replacing my wiper blades.,Oh snap!,negative
8468,d614edff9e, I would but I'm afraid I got two left feet,I'm afraid,negative
8469,1cd8d5467f,College work sucks so much!,sucks,negative
8470,3d55efb828,_sounds bicycle? Sucks i cant ride with you,Sucks,negative
8481,e0e093c2e3,"; Re: Home - that's exactly what I meant... home in D-town. ;) Also, re: computer... uh... I brokt it...",uh... I brokt it...,negative
8483,7a30455f8b,"Why are tea pitcher things so hard to find?  I haven't seen any here, and I've only found this http://tiny.cc/vynk5 online.  Ugly.",Why are tea pitcher things so hard to find?,negative
8489,e50614e2e2,my ipod died  not running until it is charged.,my ipod died,negative
8494,944776191e, gutted your out off hollyoaks  ****,gutted,negative
8500,bfdd1d57b3, I haven't had a good homemade flour tortilla in ages.,haven't had a good,negative
8501,5af1620dfb, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,THIS WEBSITE GAVE ME A VIRUS!,negative
8506,77528abf9c," Yeah, if I lived on the rez, I'd already be dead.","Yeah, if I lived on the rez, I'd already be dead.",negative
8520,94332d6083, The newest versions are not any better,The newest versions are not any better,negative
8521,6fc86b7772,"Aaaa! I need to work today, Why cant i ever get the weekends off? It makes me want to cry",cry,negative
8524,1777208983,"going to my bff's. haha. but thats in like 2 hourssss sooooo...calllll me. actually darn, i have hw","actually darn,",negative
8526,2ae74adf30,"When the weather's... ugh, something like asthma. So, yeah, Ventolin.","weather's... ugh, something like asthma. So",negative
8532,7dee3c3503, just called me a cheeseburglar. He made me sad,He made me sad,negative
8534,8363ae25ca,ah **** ... my chest hurts now,ah **** ... my chest hurts now,negative
8535,a907a8f7ee,"Wal-Mart orientation...it's work, but seriously...this sucks","Wal-Mart orientation...it's work, but seriously...this sucks",negative
8538,56377a687e, YES. i am thinking of staying in the office until it's slightly less RIDICULOUSLY HOT,RIDICULOUSLY,negative
8539,6fea8f470b,Oh..I'm so borin'.. why not play the computer?? My mom's say: because your makin' task..!!,borin'.,negative
8540,6dc072d075,misses my baby.,misses,negative
8544,a54b90ed0a,"Going to REtake my Softball photo because Patrick's Studio is a piece of ****. Back here for chores. Some Friday, huh?",is a piece of ****.,negative
8547,90469c762f,watching &quot;That Thing You Do&quot; on Comcast. Missing my boo like crrrrrazy!,Comcast.,negative
8549,d90d309eb2," That's the problem. The earphones I get here don't last more than 2 months, no matter what brand or price.",That's the problem.,negative
8554,aee6e65c60,I have to give up my beloved Red Sox tickets!! Argh! Meeting was just scheduled in CA...,Argh!,negative
8559,8929500ba0, oh no! Poor thing keep us posted.,oh no! Poor thing keep us posted.,negative
8563,1b6a12519d,is soooo over school...maybe sick..all week *evil laugh*,evil laugh*,negative
8564,66ce4f66ad,fml my work uniform is on the washing line,fml my,negative
8565,3d64f2c8ae,Somehow I have yet to accomplish a **** thing.,accomplish a **** thing.,negative
8567,be65765553," Yeah, tried it. No go.",tried,negative
8568,ba1edf971c,Nugget bit Jack. I told him not to poke the poor hamster!,Nugget bit Jack. I told him not to poke the poor hamster!,negative
8572,672605177c,"watching a boring police prog after making a fab pasta dinner, trying to cut down on alcohol so only had water",boring,negative
8575,692f5741d2," juice! I miss juice, any fruit",miss,negative
8576,dce8eb94fa,The first time all week I can play WoW and I get stuck at &quot;authenticating&quot;.,stuck,negative
8577,fb58fcae23, I'm soo jealous right now!!,I'm soo jealous right now!!,negative
8579,d7b5f796b9,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,negative
8581,b52177ee62,Well school's finally over and idk but I'm sad  I'll miss my teachers. Goodbye Mrs R. and Mr. Collister,sad,negative
8585,3ba4b20516,I didn't go to the gym today and I feel bad,I didn't go to the gym today and I feel bad,negative
8587,9cc5161b00, will the presentations be available online during the meeting?  The poster discussants are going so fast I can't write fast enough,t I can't write fast enough,negative
8588,d6d9a3d7af, and now I have to shut computer down and get ready to go home from work....what a bummer.,shut,negative
8591,d8f5c9de97, nick's voice still makes me wanna kill things,nick's voice still makes me wanna kill things,negative
8592,db0f03aa1f,i hate waking up early! but i need to make up my 27 hrs at my pharmacy class. &gt;=[ sighhh.  in other news: breakfast time!!!!,i hate waking up early!,negative
8593,e18a2f80b1,"Sad news, after a week in the hospital, My uncle past away today. R.I.P. Uncle Tony",Sad,negative
8596,6e1baf06c9,lif's unfair....luk wat it did to ma frend...i m so hating it,i m so hating it,negative
8605,76f29e1afa, I am very angry at this information Marcos!!!!!!,very angry,negative
8608,24804e84b1,Just finished cleaning the bathroom.  Now I smell like clorox,.  Now I smell like clorox,negative
8612,43ebf29edc,Sometimes I could swear I really am insane.,I really am insane.,negative
8613,7f8ac5fd76,This herniated disc sucks.  I'm stuck mostly on my back when I could be out riding.,This herniated disc sucks.,negative
8614,7b17834153, So sorry I missed it!,sorry,negative
8617,6dba3a987e,Hav fun at heav y Metal happy hour you guys! In the future  accadentally sets it on fire while smoking with ,accadentally,negative
8632,98a7e00c8b,dammit i cant watch stadium music,dammit i cant watch st,negative
8642,e7314c1552, Well I can tell you I didn't marry my like. Maybe that's why I'm stuck in situations like I am now,Maybe that's why I'm stuck in situations,negative
8647,71c9975b09, !! I miss you too.,I miss you too.,negative
8650,f092eb7907,Really disappointed I can't make it to bloomington for  launch party tonight  if you're around you should check it out,disappointed,negative
8654,cdf3da6970,Cleaning + finding stuff to sell. I'm so poor.,I'm so poor.,negative
8655,f191893c0e,Already misses the Dunhams.,misses,negative
8656,3e7bbe922c,My student just walked in balling.  She just witnessed her dog getting hit on the street.  I don't know what to do to cheer her up.,My student just walked in balling.  She just witnessed her dog getting hit on the street.,negative
8659,a174faa63c,Just found a tink cover for a wii remote but the people i know dont have a wii  fail,fail,negative
8661,47482b6d19,"@_Janet_ ouch, I hate it when favourite items of clothing get ruined.",hate,negative
8663,7f751d78fb,"God, I HATE scary movies. They are not at all. I'm such a wimpy.",HATE,negative
8672,4636ad66d9,"can't wait to get his hands on his new blackberry, this one is dying on me",dying on me,negative
8674,da2bf1eb03,this day has beasted me.,beasted,negative
8677,abcb83a4c1," I know! I can't go either...it's sad  She needs to come back to MI asap, haha",sad,negative
8679,c98bda7613,Sunburn on my knees,Sunburn on my knees,negative
8688,54277afaa4," sux, I'm thinking of being an accountant. Mad monies! I'm a middleschool cafeteria manager  (25k/yr)","sux,",negative
8689,c6c2ba723b,My tummy hurts  go away cramps! I hate chuu!!!!,hurts,negative
8690,5c510be7a8," Wow, really? I didn't know it was that serious.  Well that sucks. Texas must have been chock full of asbestos.",w it was that serious.  Well that sucks.,negative
8695,ad94c81511,My legs are so **** sore. And my feet hurt to walk. Whataday,hurt to,negative
8697,ade7b64fe3,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing,stuck in stupid,negative
8701,2820205db5, I know! I'm so slow its horrible. DON'T TELL ON ME!,horrible.,negative
8705,f6741757cd,"brother's back!! &amp;&amp; i found this really small dead bird on my deck  so sad, i basically cried.",asicall,negative
8711,e910a0e1c3, omg me 2 !! Haha i was half an hour late 4 work whoops !! Hahaha i h8 workin sat mornins,whoops,negative
8714,3daa9bf925,offically in DC .....  missing my numero uno,missing my numero uno,negative
8716,e34b26e551,AHHHH my keyboards getting worse :/ my BDAY's in 1 more day,AHHHH my keyboards getting worse :/,negative
8717,334906ed64,I dont associate with fake asses!,fake asses!,negative
8720,1b4e6c86c7,"I'm very upset right now, like I can't even formulate a complete thought....","I'm very upset right now,",negative
8721,f15e734e81,"Its sooooooooo not funny when I have to move from computer to computer to render and draw. Come on, Revit! AutoCAD was never this bad.",Its sooooooooo not funny wh,negative
8726,a57cab0082,GREG NOOOOO DON LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don't worry lol  cry cry cry,GREG NOOOOO DON LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don't worry lol  cry cry cry,negative
8728,a2a32903e7, it's a dreary monday morning and I slept like ****...give me a break...,****.,negative
8729,fb1836fb4e,  If you don't want to come then don't come. JEEEEEZ.,If you don't want to come then don't come. JEEEEEZ.,negative
8732,b65fff362b,"anyone drive a newish diesel car? any advice on pros cons? not interested in old diesel cars, need recent model experience, eg SUV",not interested,negative
8735,32ad4bc470,http://twitpic.com/4wkzi - before prom. this is when all the chaos began,chaos,negative
8739,4d208cbf0f,Trying to figure out how to personalize my downloaded Wordpress blog!  Not as easy as I was hoping   Any suggestions?,Not as easy as,negative
8746,1f1c138217,is feeling rather lonely and broke...oh wait...I am lonely and broke.,lonely,negative
8747,4b8392274d,I have too much homework to do today,I have too much homework to do today,negative
8753,91d8c6caf0,Already know I'm gonna miss josh next week.. My mom needs more surgery.. Work sucks.. Not a good day. Oh and my tum tum hurts,Work sucks..,negative
8754,d8be4a4c45,Dropping my mum at the station   I'll miss u mum,l miss,negative
8758,303f835cb7,"Boys are stupid, throw rocks at them","stupid,",negative
8765,285430016e,So booooored  I learned this though! ????????,So booooored,negative
8766,a82705a699," Oh ok,Thanks.Dont know where the courthouse id either,I'll learn though.Any nkotb? Twitter stole my pic again  it hates me",t hates,negative
8769,5136fdc132, i dont have a bank. i cash my **** at tom thumb. i've had four bank accounts--and they've all gone negative,negative,negative
8770,3f9e322af8," Oh same here, can't believe they killed him off!  Hate Stringer now!",Hate,negative
8773,db69625f16,Never has a chance of sleeping before midnight  my mind is so tired......,tired.,negative
8774,cf2f393f1f,Just went a bought the bigest redbull i could find. its going to be a long day at the office,its going to be a long day at the office,negative
8777,2d6e96cb85,No more Wiffleball..  ****.,****.,negative
8781,5f2d9ebebc,"is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on","is suffering from hayfever, is drowsy from too much Piriton,",negative
8782,4c8bffec8c,Too broke for cigarettes.,Too broke fo,negative
8786,445b836fd9,sinus headaches suck big time!,suck,negative
8787,d06dee8ba0,Everythings Sooo Messed Up!!!!!!! Life Sucks!!!!!!!!!!,Messed,negative
8789,d2ddee6416,Fuuuuuuuudgeee I burned my finger with oil! It hurts,hurts,negative
8790,145ba56a5a,Havnt gotten any in months  my ex seems into dating but there isn't that spark anymore  still in love with loser who left me,still in love with loser who left me,negative
8796,be4d616992, Yucky! We had our last soccer game of the season today...tryouts start Friday,Yucky!,negative
8800,be5fd8832f, SIGH  How are you?,SIGH,negative
8802,e27078eb14,I JUS FOUND MY I.D. FINALLY ; IT WAS IN THE LINT THINGY IN THE DRYER LOL ITS ALL BENT OUTTA SHAPE NOW  IM MAD,NOW  IM MAD,negative
8804,4a265d8a34, ****,****,negative
8811,201fd998ac,omg maddie in holby is dead. Gutted. loved Nadine lewington and really wanted Maddie and Clifford to get together,dead.,negative
8812,a9d739cbcd,: to triste,: to triste,negative
8814,7d41dbe15c, ... but i could barely speak! He was probably thinking 'who is the weirdo?' LOOOOL. Say sorry to him for me please?  x &lt;3,sorry,negative
8817,0d46954e4d,WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,negative
8818,7c74a20ddd,Can't sleep!!! People keep textin me!!!,Can't sleep!!,negative
8819,492624d1b8,@ work do not feel like bein in dis **** today,@ work do not feel like bein in dis **** today,negative
8828,573d03c22e,#BGT That poor kid,poor,negative
8831,3c4b0058b3,not eating lunch with my wife like I wanted to,not eating lunch with my wife like I wanted to,negative
8836,f9db2c677c, And maybe you will get the statue and sainthood you are seeking.  Win-win for all. Can't be a victim like your people.,. Can't be a victim like your people.,negative
8838,edb8a2e0e4," It's 12:30AM,  stopped tweeting, my brain's not functioning. I wanna cry. Haha. Philippines tour, please?  Love ya!","It's 12:30AM,  stopped tweeting, my brain's not functioning. I wanna cry. Haha. Philippines tour, please?",negative
8841,74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative
8842,d218dfd8ef,"My storm is acting up  ....Excited for the discussion session regarding Social Media. Scott Lake, CEO of ThinkSM, will be attending.",My storm is acting up,negative
8844,a70e0f6bac,home sweet home? i think no! huaaaa,i think no!,negative
8846,9e29389b44,swoobs and swass.... why the hell is air not on TODAY when I am packing  blech,why the hell is air not on TODAY,negative
8850,8956e75c06, too bad i dont have either,bad,negative
8854,7841b9fac0,my 21month daughter's seperation anxiety is intense. it's killing me. i cant leave her sight without her breaking into an anxiety attack,it's killing me.,negative
8855,392272a501,"sorry , i chili cheese dogged without you",sorry,negative
8857,b66219e011,Cried Like A Fukn Baby Today Durin Da Senior Show...Ima Miss All My Senior Friends,Miss,negative
8859,49a20a3d38," ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what's wrong.",I feel extremely flushed,negative
8872,cafd25492a,_nichole i miss my earrings  lol you should let me know when your close by,miss,negative
8880,7e3f57c60c,Just found out one of my ankles is swollen...eeks now it hurts,hurts,negative
8881,042b4f8784, blimey! You're still suffering?!!,blimey!,negative
8890,b06cbda66b,It smells badly of garlic,badly,negative
8891,ca6599a1c0, not my groom!  think i'll die an old maid! lol,l die,negative
8893,3766439f81, oh I'm sorry for that. how old was your grandpa?,sorry,negative
8896,16a6367f10,can't sleep... havent finish my homework  **** IT !,**** IT !,negative
8902,b5b42a777e, i want u to know i don't like u hun  j/p u know we go back,i don't like u,negative
8904,5442b34553,"four shots of novacaine in my mouth  my right cheek is totally numb, booo.","four shots of novacaine in my mouth  my right cheek is totally numb, booo.",negative
8907,443f6d754f,"...wait, I lied.",lied.,negative
8916,1ea46b2b89,"juss boredd, !","boredd,",negative
8920,cab5b2387c,"Why would someone even do something like that, you gotta be pretty **** desperate for attention!!! lol poor keanu",poor keanu,negative
8921,358bd9e861," Sons of ****, why couldn't they put them on the releases we already bought","Sons of ****,",negative
8923,ac47dbed9f,I totally want some white chocolate macadamia cookies from Mrs. Fields but the mall is soooo far away. Bleh  i think I'll make my own,soooo far away.,negative
8925,434af71088,Very bad things.......I need to stop thinking!,Very bad things..,negative
8929,03c0b749b5,Nooo i wanna watch the comet  dont wanna go workk!!!,dont wanna go workk!!!,negative
8931,ef8f79cae3,"I'm bored... Don't want to stay home tonight, but don't want to spend money  blah",bored..,negative
8935,c76f329b65,wishing I was anywhere but here...,wishing I was anywhere but here...,negative
8936,76855e474a,oh no! I just crashed my ball pump,I just crashed,negative
8937,5512695d36,sitting around doing **** all....tired,sitting around doing **** all....tired,negative
8939,f75ab644ab,i'm lonely.  i need some hug.,i'm lonely.  i need some hug.,negative
8940,c341d742b0,hugh isn't on it  lied last week,hugh isn't on it  lied last week,negative
8945,b4a1194ebd, You're a real ****. I'm gonna slap you in public.,You're a real ****. I'm gonna slap you in public.,negative
8954,687ee0bd2d,Wide awake and grouchy as ****.,grouchy,negative
8957,e2de6c4cdd,I didn't get my q'doba today! sad,sad,negative
8960,d075640401,"_pina_14  Not good!!He wouldnt like his girl flirting with his colleagues,would he?",Not good!,negative
8966,e0ba9be097, yup slowly recovering. it sucks that i can't eat the stuff i'm craving right now. my gums can't take it. how was your trip?,it sucks,negative
8968,d8fabc4d21,My aim is not working due to network problems,My aim is not working due to network problems,negative
8969,0541e800e0,I know I shouldn't be saying this but **** it..I'm **** as hell,**** it..I'm **** as hell,negative
8970,bd46759770,"Bad day!  Work's TOO stressful...been involved in a minor accident, but everything's ok so far. Have to cut down immediately!",Bad day!,negative
8972,47fc719676, I dunno...I thought I was funny,.I thought I was funny,negative
8976,c7c86f06b5,"trying to upload a custom background on here, but it's not working",but it's not working,negative
8978,ce34816338,Back from Miami. I miss South Beach,miss,negative
8980,998af5bf96, y does it hurt so much? i can't even chew gum.  i've lost so much weight because i can't even eat,y does it hurt so much?,negative
8982,b462287128,"twitter wont change anything  TWITTER, WHAT THE HECK IS WRONG WITH YOU???!!",WHAT THE HECK IS WRONG WITH YOU???!!,negative
8997,718e94282f,tired as ****. it's pissing down with rain. i miss summer,tired as ****.,negative
9001,97df67af13,i just found a crack in my baking bowl...milk spilled everywhere,i just found a crack in my baking bowl...milk spilled everywhere,negative
9007,cd8a65bc07,on my way to work! I am gonna miss general hospital,miss,negative
9013,6dd07105c9,projects suck,projects suck,negative
9015,8a4740ee53,I don't want to sit at home on prom night. Someone hang out with me,I don't want to sit at home,negative
9018,c9896d97e2,"@_erica Yea, its tough to keep it going. Sometimes I'm not sure its worth it.",tough,negative
9021,f3695fc09e,"Oh, ouch. That hurt.  **** washing machine is out to get me!  &lt;.&lt;    &gt;.&gt;",hurt.,negative
9030,05b5e4da53,I hate when a program freezes during installation.,hate,negative
9031,a0577b9f07,Hates being sat around alone on a Friday night. big sad old loser,big sad old loser,negative
9036,93adf1a41f,"am hungry.. going to eat... catch up with you guys later &amp; 4 people who are hurt by my sardonic quotes - why are you waiting, hit me back",are hu,negative
9043,8a243afd27,"Hi, is anybody else having problems with the Karma site? It's not working.",It's not working.,negative
9044,5ef2cf68b1,Mouth hurts,Mouth hurts,negative
9045,986afda3ac,is missing Tampa,missing,negative
9046,ba0e5cdec3,"Took calculus exam today, I think that I did well. I messed up one derivative identity though  Well, I never miss that one again.","Took calculus exam today, I think that I did well. I messed up one derivative identity though  Well, I never miss that one again.",negative
9047,820974856e,oh no.... please... dont do that to yourself again,oh no.... please... dont do that to yourself again,negative
9049,771d1dbc22, which means i spend more time alone than with friends and family. how sad,sad,negative
9050,3bf1999f2f,Trully a awful day! ****!,awful,negative
9051,9590e14088, that sucks!  how old are you actually?,that sucks!,negative
9056,be3ec17722,i fear the spaceship is not long for this earth. it just stranded me and edwin on the highway. there was smoke,i fear th,negative
9057,9f7c258724,i am on BLAZE and my head hurts.,hurts.,negative
9066,059fe3eec4,Done With Exams...Now Focusing on Summer School...DAYUUMM Life's Hard,DAYUUMM Life's Hard,negative
9067,db63f4e8ce, I think it goes against everything i thought the olympic spirit of Team GB is/was,against everything,negative
9069,57f0d8fad5,"aku kbangun gara2 mimpi , very bad dream",very bad dream,negative
9071,b4ab82ff8e,"sociology is done, english and biology left... i'm going to DIE",DIE,negative
9080,549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative
9081,3108a6f581, Tshwane wants double rates but try and phone to get service - endless loop #fail,Tshwane wants double rates but try and phone to get service - endless loop #fail,negative
9093,b82e0a7938,"what is love!? baby don't hurt me, don't hurt me, no more. I WANT TO WATCH 'NIGHT AT THE RUXBURY' RIGHT NOW!!!!","don't hurt me,",negative
9094,629b112918,anticipating a tough day ahead,anticipating a tough day ahead,negative
9097,bb914db7f3,I have a sore tummy,I have a sore tummy,negative
9098,5f3bde3bf7,&lt;i&gt;Waiting For Natie to come online I miss him,nline I miss,negative
9099,cd549c7d0c,Plans were taking flight to go out tonight but they're now sinking in the Hudson since I have to work in he morning. Stupid bird strike.,Stupid bird strike.,negative
9102,762b429364, Lucky you...my day has gone by with large amount of boredom...and a little stress. The detalis can get a bit gruesome,. The detalis can get a bit gruesome,negative
9104,57342ea5db,Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,negative
9107,38bec1e450,RIP Robin from the Washington Park library,RIP Robin,negative
9109,a8227753df,ahh yes the obligations of a vampire kept me away from twitter.but now i'm back &amp; will try 2 update as much as possible.i lost a donor,e.i lo,negative
9110,4319eb552c,has some bad newss,bad newss,negative
9113,5f5ef8ac14,Not  looking forward to next   wednesday at all,Not  looking forward,negative
9116,8a4d03ab8d, Poor dear. Your fellow **** mavens have been there.  What gym do you belong to? PEAC?,Poor,negative
9124,6af2e23e1c,sat in the pub. Pretty quiet so far. Prob leave in a bit. Work at 6.30,Pretty quiet so far. Pr,negative
9129,b6e7affd29," I'm a jerk...  now I can't go out    Dammit Frank, why do I suck so bad?",jerk.,negative
9131,be810d4333,"Not so good at remembering to do this twitter thing, sorry everybody! I leave for Tibet today...with a head cold",sorry,negative
9135,6eff3352d8,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!",HORRIBLE,negative
9138,2575e76393," If I knew it was gonna be this kind of party, I would've stuck my **** in the mashed potatoes!","If I knew it was gonna be this kind of party, I would've stuck my **** in the mashed potatoes!",negative
9146,f3e3a17d75, yea yea  im about to torture myself by doing a stanky leg marathon..ima do the dance for hrs til I can't no mo,o torture,negative
9148,c3dc352877," Sad thing is that I wanted to work there for years, it was my dream job. Was crushed when I saw how crappy it was. Still bitter",Sad,negative
9153,3af69da33b,Anyone got any remedies for neck pain? Haven't been able to turn my head properly without a bad twinge for a few days now,Anyone got any remedies for neck pain? Haven't been able to turn my head properly without a bad twinge for a few days now,negative
9154,57b581579b,OMG. Period cramps are FTL. So much pain.,So much pain.,negative
9158,13b7454337, No.  I was thinking just before how much I miss my T-Dub.,No.  I was thinking just before how much I miss my T-Dub.,negative
9159,5616d9e12a,CHILLAXIN AT WORK...MAN I SCREWED UP,SCREWED,negative
9161,07c231cf30,Refusing to accept that the US holiday is over. Heading to Woodies Longboard  Diner in um ... Hove...,Refusing,negative
9166,f89f5dff7b, ah  Hate it when that happens! The Race to Erase MS is this week. Are you going?,Hate,negative
9167,18f1163578,Had to stay home while my wife takes my daughter and a few friends out to Tokyo Steak House - sadly my body is not cooperating today,sadly,negative
9169,bf4adc7c6d, Jz local movie here. The title's virgin 2 :p actually i feel not so good. So tired n dizzy,So tired n dizzy,negative
9173,7a9470258e, im sadd sancha  june 18 for me is a fail  its gonna be you and chini ((((((,sadd,negative
9179,209889dbb5,I'm so tired. I don't get how I am. I sat on the lawn mower and didn't push the whole **** thing.,I'm so tired.,negative
9182,946f23739a, so sad emma  u sad to be leaving the show? ****,so sad,negative
9183,b001d5011c,i still DON'T have the internet @ home  ****,home  ****,negative
9184,21772a3cfb, Why I aint on ur #FF list? im hurt,hurt,negative
9190,65da7a4cc4,"Starting a new diet today. I don't want to get fat. Besides, its almost bathing suit season! *lol*",I don't want to get fat.,negative
9192,6bf46b99ce,Really tired JAKe always gives me more work,tired,negative
9193,edeeaa9756,Hicks are mean!,mean!,negative
9196,a7359fdab1," awww bb, you sound lonely  I want to drive up there/fly and snuggle you too",lonely,negative
9200,e0fe9e38a0," Oh whoops, my bad","Oh whoops, my bad",negative
9204,1c70315ba0, suck it up,suck it up,negative
9208,e6baae0e16, nope- dnt have wireless ne more  HATERS!!!! Ugh... Save me a copy so I can watch it...,e  HATERS,negative
9213,29bb355fef,"I'm so sad, really really sad","I'm so sad, really really sad",negative
9214,7082999a93,"According to , a quarter of families under six live in poverty.",live in poverty.,negative
9217,6ccee02afb, lame right?  do u know what dates you'll be in Cali?,lame right?,negative
9219,0d166cad9a,I have one less follower  That makes me sad and I feel like my life is dull and uninteresting.,r  That makes me sad and I feel like my life is dull and uninteresting.,negative
9220,1405a7529a,Can feel a headache growing.,headache,negative
9222,503f1540e8,"My leg broke, now I am waiting untile i can go again","broke,",negative
9224,208f0ce7b1,Okay haileys really gone now.  everyone keep her in your prayers.,Okay haileys really gone now.  everyone keep her in your prayers.,negative
9232,274d41b28d,"It's Friday, but not the most pleasant ones  waaaaaay to much work...",not the most pleasant ones,negative
9235,d8fae197ff, Not having Hulu in Germany sucks,sucks,negative
9239,f590a96112,"On my way to work, I'm kinda sad",sad,negative
9240,a2f6c5cca9,"Playing with the munchkin today, talking cakes and getting ready for a yard sale tomorrow. Not looking forward to that",Not looking forward to that,negative
9241,e7ec3be194,elliott claims steak and shake has been doing this for months...not exciting anymore...,not exciting anymore...,negative
9242,6ff152ffb9,Then back to **** school,Then back to **** school,negative
9246,4f9abe51eb," I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",huh?,negative
9251,1f5ff80f2e,Dollhouse was saved!!! Its coming back for another season!!! Too bad scrubs isn't,bad,negative
9253,23c1478113," So sad...found otu about your boot camp too late.   Oh well, may be in LA that day anyway.",sad.,negative
9261,2903032d89,"i cant sleep, i dont deserve this .... N you know it","i cant sleep, i dont deserve this",negative
9262,38e14152a1,Awww that poor little girl on BGT,poor little girl,negative
9265,e772b4ccc1,Dreambears were **** compared to their wicked audition,**** co,negative
9266,9be8bac148,Big Sam Houston is not big enough to overcome the challanges of moving-car-iphone photography  http://yfrog.com/0xhu5j,Big Sam Houston is not big enough to overcome the challanges of moving-car-iphone photography,negative
9268,ca1842ae21,@_hayles yer there must be-not sure tho-caught it off my brother but got it worse,worse,negative
9269,0b1cda0a8a,feel like ****.....and will continue to for as long as it takes,****..,negative
9272,839a62cfda,says headache  http://plurk.com/p/wydaf,headache,negative
