,frequency,presence
alltel i miss you,1,1.0
had one and it,1,1.0
we dont get you,1,1.0
yes a date nope,1,1.0
aww at when she,1,35.0
see her hotness much,1,1.0
hydra clients to check,1,1.0
to work and then,1,1.0
with each shell they,1,1.0
be stuck in my,1,1.0
it s deg c,1,3.0
a week i am,1,1.0
m stuck in jury,1,1.0
some of my stuff,1,1.0
in the kitchen like,1,1.0
going to go to,1,1.0
maybe ur right lol,1,1.0
mean the post concert,1,1.0
not really but its,1,1.0
m thinking mercenaries tonight,1,1.0
psyching myself up for,1,2.0
the files today lol,1,1.0
no longer your peeps,1,1.0
got work mostly all,1,1.0
tweet again krn mitzy,1,1.0
reason well thats another,1,1.0
not after her haircut,1,8.0
you both tons of,1,1.0
go to bed though,1,1.0
of unit in term,1,1.0
just realized you can,1,2.0
stuff hahaha yeah right,1,2.0
my computer i need,1,2.0
and alaska but its,1,2.0
am i and now,1,2.0
save me from my,1,2.0
have decided that at,1,1.0
too high up guess,1,1.0
how twitaddicted you can,1,2.0
bout the migraine did,1,1.0
get it done and,1,2.0
really i m just,1,1.0
following i ve been,1,1.0
strawberries for the champagne,1,1.0
spend short amounts of,1,1.0
s been a rough,1,1.0
be with you URL,1,1.0
first game of apple,1,1.0
man near our workplace,1,1.0
on the phone w,1,1.0
ew full not content,1,2.0
searching more for quot,1,2.0
directions have multiple social,1,1.0
i was nt near,1,2.0
so paiseh haha i,1,1.0
came across as though,1,1.0
beauty sleep and shopping,1,1.0
same places lol i,1,1.0
not going along with,1,1.0
getting better with the,1,1.0
hey boys do you,1,1.0
fab and sad i,1,2.0
spent minutes at the,1,2.0
yr old single guys,1,2.0
shop right now getting,1,2.0
b tch quot mm,1,2.0
and getting done last,1,2.0
be in the blog,1,2.0
night tossin and turnin,1,2.0
words whys the house,1,2.0
doing cbeebies epg by,1,1.0
throat hurts bad tonight,1,1.0
many times but s1,1,1.0
yeah my laptop is,1,1.0
rules i do not,1,1.0
and i get next,1,1.0
for all time low,1,1.0
i love much better,1,1.0
keyboards for pohaku lol,1,1.0
my princelple s number,1,1.0
but my party is,1,1.0
who wants to lend,1,1.0
also a joshmobile pft,1,1.0
all the disney stars,1,1.0
i can make you,1,1.0
a quarter inch from,1,1.0
too bad i graduate,1,1.0
me mins not enough,1,1.0
exam today going to,1,1.0
partner whatcha think hehe,1,1.0
cancel probably movies with,1,1.0
like them which is,1,1.0
tomorrow lorraine ca nt,1,1.0
has just zoomed by,1,1.0
afternoon so they rescheduled,1,1.0
slowly gettin more followers,1,1.0
another one that s,1,1.0
see that too bad,1,1.0
addicted to this show,1,1.0
you buy me two,1,1.0
it i said it,1,3.0
didnt answer my text,1,1.0
store for the fi,1,1.0
em but when i,1,1.0
s baby quot ca,1,1.0
peeps if you need,1,1.0
also share videos documents,1,1.0
my username to ermintrude,1,1.0
especially stress related ones,1,1.0
ill last nite gutted,1,1.0
ship it to japan,1,2.0
i got ta deal,1,1.0
my smith chips invent,1,1.0
while at mall together,1,1.0
words a day sure,1,1.0
newport but all the,1,1.0
but i ll end,1,1.0
better watch a film,1,1.0
that would be ok,1,1.0
followers you have i,1,1.0
to early lol soo,1,1.0
that number means lol,1,1.0
did nt want her,1,1.0
as strong with clouds,1,1.0
teets soy quot milk,1,1.0
then i get peace,1,1.0
i designed for the,1,1.0
to nzz and economist,1,1.0
know where to put,1,1.0
all da way overr,1,1.0
thought it was all,1,1.0
baby cousin is gon,1,1.0
get not sure yet,1,1.0
he s a got,1,1.0
do nt know she,1,1.0
arizzard justin long is,1,1.0
tempted to look at,1,1.0
from eight to four,1,1.0
shall take your picture,1,1.0
on a bus to,1,1.0
sweet booth at newport,1,1.0
of quot coding workshop,1,1.0
needing a girls night,1,1.0
hubster and i think,1,1.0
love with his creations,1,1.0
poor you wish you,1,1.0
twitter settings and that,1,1.0
do until tmrw but,1,1.0
go to the tweetup,1,7.0
yay boo i m,1,1.0
so glad it is,1,4.0
is nt until tomorrow,1,4.0
week s notice in,1,20.0
well i ll take,1,1.0
well i graduated today,1,1.0
is a baby cardinal,1,1.0
my car for the,1,2.0
no wayy that s,1,1.0
hope you recovered from,1,1.0
boo luv ur videos,1,3.0
a look tomorrow definitely,1,1.0
to leeds wut are,1,1.0
that everyone please join,1,1.0
could see your quote,1,1.0
the high scores today,1,1.0
even if i was,1,1.0
thing running an online,1,1.0
all the good trix,1,1.0
a huge crowd meaning,1,1.0
felt like taking that,1,1.0
duc home from a,1,1.0
a long day short,1,1.0
just had cheese on,1,1.0
connected with god constantly,1,1.0
english class working on,1,1.0
was a really bad,1,1.0
but it s raining,1,1.0
nt believe that jeff,1,1.0
jonathan coulton and working,1,1.0
did the same thing,1,1.0
bgt if everything goes,1,1.0
oh well whatever pays,1,1.0
blessed child these people,1,1.0
to say goodbye to,1,1.0
smfh over reactin nothin,1,1.0
lunch going to get,1,1.0
one time hope he,1,1.0
mine do it no,1,1.0
really fancy a nap,1,1.0
btw that song is,1,1.0
back off other peoples,1,1.0
can i get an,1,1.0
today then working out,1,1.0
bad as you think,1,1.0
as everyone is saying,1,1.0
go to prom as,1,1.0
through this casualties discography,1,1.0
hey charicee how are,1,1.0
same about poems when,1,1.0
time if i get,1,1.0
haha you are just,1,1.0
in town so us,1,1.0
and its so darn,1,1.0
shields and drew barrymore,1,1.0
friends who are nt,1,1.0
passyunk square area closer,1,1.0
converter ed i ve,1,1.0
band live blink for,1,2.0
home i did nt,1,1.0
the crew please dont,1,1.0
for danny to text,1,1.0
for the guy in,1,1.0
shift holla at ya,1,1.0
messages uve left on,1,1.0
ll come home and,1,1.0
that post was for,1,1.0
work tomorrow tired of,1,1.0
now but nobodys there,1,1.0
shelter i did nt,1,1.0
at thursday surely he,1,1.0
up is hazardous to,1,1.0
was certain which show,1,1.0
this morning on a,1,1.0
parents just came home,1,1.0
i will do our,1,1.0
job so we did,1,1.0
heck but good feeling,1,1.0
s unfortunate to hear,1,1.0
pie check cupcakes check,1,1.0
its not in my,1,1.0
in my seat watching,1,1.0
scheduled when i am,1,1.0
i was nt really,1,1.0
the night owl queen,1,1.0
too so i ll,1,1.0
na start all over,1,1.0
myspace account cause the,1,1.0
got to laugh ha,1,1.0
like a minute ago,1,1.0
all done with wow,1,1.0
few things to get,1,1.0
one correct total one,1,1.0
of playoffs so l.a,1,1.0
what normal ppl consider,1,1.0
of times in planes,1,1.0
should nt take photos,1,1.0
perhaps some old fashioned,1,1.0
help me find a,1,1.0
off in the end,1,1.0
me i dont think,1,1.0
i just single handedly,1,1.0
good time sadly that,1,1.0
throw up got our,1,1.0
susan s green policies,1,1.0
like a strawberry should,1,1.0
ahh that would rock,1,1.0
s still being made,1,1.0
i have jess s,1,1.0
book over the weekend,1,1.0
found on twitter loll,1,1.0
and relax a little,1,1.0
montana is there a,1,1.0
finally catching up with,1,1.0
cats i want them,1,1.0
on fire to get,1,1.0
im sorry tomorrow tho,1,1.0
a competition yesterday to,1,1.0
goodmaking a list of,1,1.0
quot lol try downright,1,1.0
i just be a,1,3.0
at least he is,1,1.0
i miss the fun,1,1.0
kill you mwahaha ha,1,1.0
section a bit tricky,1,1.0
m updating my personal,1,1.0
mono lake tweet but,1,1.0
is out sorry dear,1,1.0
i have to come,1,1.0
out my baby cousin,1,1.0
again yo ho yo,1,1.0
ca nt publish my,1,1.0
feeling sick some things,1,1.0
the rest of apm,1,1.0
take it well nearly,1,1.0
best a bit disappointed,1,1.0
to make a long,1,1.0
was so hard telling,1,1.0
we miss due to,1,1.0
that should work on,1,1.0
before he s gone,1,1.0
had a lot of,1,1.0
a few homes to,1,1.0
of followers you have,1,1.0
time coming soon for,1,1.0
zoo buggy the staff,1,1.0
ran my machine problem,1,3.0
today figured out how,1,1.0
home plenty of painting,1,1.0
holla at ya sometime,1,1.0
with friends neil amp,1,1.0
ve been getting from,1,1.0
however i am now,1,1.0
it is good too,1,1.0
her head so funny,1,1.0
we wait til summer,1,1.0
i m leaving it,1,1.0
o clock in the,1,1.0
got ta watch out,1,1.0
to prov to the,1,1.0
on katy perry songs,1,1.0
you must rest do,1,1.0
churro s were good,1,1.0
some of there words,1,1.0
want we can go,1,1.0
if you could reply,1,1.0
should start doing iphone,1,1.0
are off of msn,1,1.0
free chocolate i still,1,1.0
ask you hooked up,1,1.0
that would be the,1,1.0
says just passed by,1,1.0
balancing uni work with,1,1.0
line for tickets just,1,1.0
from portugal to derbyshire,1,1.0
pair of shoes this,1,1.0
a strawberry lemonade slush,1,1.0
have to pass it,1,1.0
wake how they re,1,1.0
i read the floyd,1,1.0
playback at the comet,1,3.0
i came back there,1,1.0
today s highlight tomorrow,1,1.0
shes so good tho,1,1.0
they re evacuating the,1,1.0
only a game i,1,1.0
ima need somewhere to,1,1.0
grand but wheres the,1,1.0
through all too often,1,1.0
place units amp for,1,1.0
you wo nt even,1,1.0
a week of to,1,1.0
nope difference of omr,1,1.0
through most of texas,1,1.0
good and bad moving,1,1.0
m sorry i did,1,1.0
tired didnt hear the,1,1.0
craving pizza for wks,1,1.0
gaming for hours but,1,1.0
see i dont have,1,1.0
there i had no,1,1.0
i m not letting,1,1.0
because now i ca,1,1.0
admk led front phone,1,9.0
hard work too i,1,1.0
dlab on mit open,1,1.0
perfect for him and,1,1.0
is cool had a,1,1.0
brief moment of scrubs,1,1.0
playing i clicked quot,1,1.0
was nt it and,1,1.0
tire to get repaired,1,1.0
howser got the idea,1,1.0
paper i only have,1,1.0
the missus but exclusive,1,3.0
letters for next year,1,1.0
am getting sick of,1,1.0
on point but that,1,1.0
what were you doing,1,1.0
a nice summer day,1,1.0
seasons of xfiles to,1,1.0
black nailpolish for a,1,1.0
cold every time i,1,1.0
who u r anymore,1,1.0
and again if you,1,1.0
so ur name is,1,1.0
a hot hell of,1,1.0
before i have to,1,1.0
you apologize to the,1,2.0
lovato omg d ahh,1,2.0
and the grease drip,1,4.0
then i ll plan,1,1.0
home got cleaned up,1,1.0
now ca nt hear,1,1.0
one in san francisco,1,1.0
the rotation mah real,1,1.0
help i dunno what,1,1.0
i awake still up,1,1.0
best friend won tickets,1,1.0
olina off to north,1,1.0
places to eat and,1,1.0
did dat time amp,1,1.0
this talks to me,1,1.0
in the morning sometimes,1,1.0
i miss chick hearn,1,1.0
is finally here graduation,1,1.0
luckily it didnt fit,1,1.0
sports catalog and card,1,1.0
cuz i missed my,1,1.0
after some pizzas going,1,1.0
the tumbleweed are none,1,1.0
got ta add you,1,1.0
come back sat in,1,1.0
of big city and,1,1.0
be postponed to next,1,1.0
maan i was gon,1,1.0
views catch up to,1,1.0
end of my stay,1,1.0
and playing virtual farming,1,1.0
i am just going,1,1.0
i m at son,1,1.0
be doing hw but,1,1.0
long weekend in california,1,1.0
is ok that is,1,1.0
where d the songs,1,1.0
channel hanging out with,1,1.0
re a little toasty,1,1.0
me distracted from this,1,1.0
soon well it s,1,1.0
i was nt home,1,1.0
wifeyy me no likey,1,1.0
done first but was,1,1.0
thats a pity about,1,1.0
pierced for about minutes,1,1.0
stuff that was stolen,1,1.0
you not like turtles,1,1.0
best friend is going,1,1.0
of texas at least,1,1.0
or gin but do,1,1.0
night at the museum,1,1.0
cats and rule the,1,1.0
you ca nt judge,1,1.0
get that now with,1,1.0
well i do nt,1,1.0
to the doctors for,1,1.0
accounting class then detention,1,1.0
you have any idea,1,1.0
now at the moviess,1,1.0
i work in youth,1,1.0
it your pictures are,1,1.0
is feeling cold especially,1,1.0
time i ve flown,1,1.0
kbs off rope swings,1,1.0
i hve graduation practice,1,1.0
like burritos ok burritos,1,1.0
it just makes it,1,1.0
you ladies off to,1,1.0
cos its so hot,1,1.0
places to find you,1,1.0
sj star trek tonight,1,6.0
na jump off a,1,1.0
not a fan of,1,1.0
forgot k was sick,1,1.0
to skip through later,1,1.0
s some serious steve,1,1.0
halu for dinner second,1,1.0
to buy more than,1,1.0
my bed has been,1,1.0
way to wildomar ca,1,1.0
cant even call a,1,1.0
our bums really do,1,7.0
supper tonight with kurumi,1,1.0
sinse i had dis,1,1.0
back to canad come,1,1.0
sexy is nt he,1,1.0
me saying they are,1,1.0
for orbicule is there,1,1.0
i say the same,1,1.0
you doing that ken,1,1.0
put a new bulb,1,1.0
matched socks during winter,1,1.0
long line at chickfila,1,1.0
is listening to prima,1,1.0
on campus ha i,1,1.0
lol thxs hit up,1,1.0
tell me that hes,1,1.0
s friend jose d,1,1.0
oh i read that,1,1.0
one for everyone i,1,1.0
a week from today,1,1.0
yesterday but i do,1,1.0
but i ll miss,1,1.0
when my ipod randoms,1,1.0
myself barely hrs of,1,1.0
me when u remember,1,1.0
it was my name,1,1.0
said back to work,1,10.0
works i do nt,1,1.0
being a fan is,1,1.0
my computer ca nt,1,1.0
hell florida and no,1,1.0
u guess where am,1,1.0
you will be more,1,1.0
thing sucked no encore,1,1.0
bad night hopefully my,1,1.0
haha yah it s,1,1.0
weeks amp they are,1,1.0
but a good date,1,1.0
though i m feelin,1,1.0
when i read quot,1,1.0
know who not to,1,1.0
they unintentionally make me,1,1.0
cold especially in such,1,1.0
twitterville off to apple,1,6.0
new search engine from,1,1.0
server error on check,1,1.0
world turns against you,1,1.0
chocolate fan but the,1,1.0
that it s welsh,1,1.0
it s being held,1,1.0
i need to laugh,1,1.0
re off down south,1,1.0
wake up tomorrow arrive,1,1.0
with the kardashian on,1,1.0
account i had set,1,1.0
let me login to,1,1.0
do wot he do,1,1.0
then disney kids would,1,1.0
was school i saw,1,1.0
weekend and i have,1,1.0
youtube lol will get,1,1.0
work i need my,1,2.0
of sight album sampler,1,2.0
thats just how i,1,1.0
had one wish it,1,1.0
bad news i will,1,1.0
fic again but i,1,1.0
box of ice cream,1,1.0
so many movies in,1,1.0
i thought we was,1,1.0
about what to do,1,1.0
too i hate my,1,1.0
time more letters what,1,1.0
still cant work twitter,1,1.0
just posted i cant,1,1.0
schedules will work out,1,1.0
in the car waiting,1,1.0
i wanted to be,1,1.0
even if he is,1,1.0
even see your replies,1,1.0
in france now i,1,1.0
play quot name that,1,1.0
next girl nas one,1,1.0
application on the twibe,1,1.0
too but dangit sat,1,1.0
from hungry jacks or,1,1.0
one going into the,1,1.0
ll have each other,1,1.0
got ta pack everything,1,1.0
good times just broke,1,1.0
working out and watching,1,1.0
d means direct so,1,1.0
amp just my luck,1,1.0
actually going to sleep,1,1.0
only need five more,1,1.0
my genes or something,1,1.0
what time are we,1,1.0
not talkin to anyone,1,1.0
tv channels so i,1,1.0
that old writing avoidance,1,1.0
off but has to,1,1.0
under you cant go,1,1.0
a year old boy,1,1.0
is going to shul,1,1.0
preservatives they re using,1,1.0
collared shirt then chances,1,1.0
today too which is,1,1.0
before but you re,1,1.0
might try mr p,1,1.0
ny area but dantas,1,1.0
prd take a long,1,1.0
from view drowning past,1,1.0
seen i feel bad,1,1.0
quot then going to,1,1.0
me to shut the,1,1.0
late and he has,1,1.0
all be down to,1,1.0
please be a starbucks,1,1.0
starting off my day,1,1.0
hear the texts i,1,1.0
to your word now,1,1.0
man i left all,1,1.0
they already are in,1,1.0
a new journaling site,1,1.0
it s being difficult,1,1.0
later in the week,1,1.0
the road just talking,1,1.0
it makes my room,1,1.0
na be my exercisebuddy,1,1.0
last time i mention,1,1.0
ca nt wear my,1,1.0
u i get scared,1,1.0
with suzy in uptown,1,1.0
tip sell the business,1,1.0
deal i wish i,1,1.0
which show you were,1,1.0
work im stuck here,1,1.0
should i say tomorrow,1,1.0
probably forget i had,1,2.0
hmm i wonder how,1,1.0
thought follow friday was,1,1.0
yours and vice versa,1,1.0
and cheese with a,1,1.0
night hopefully my workout,1,1.0
lunch today and its,1,1.0
my stupid sleep schedule,1,1.0
to install on the,1,1.0
and frankie that i,1,1.0
that was executed while,1,1.0
book i can make,1,1.0
grand is a bit,1,1.0
i ran my machine,1,1.0
my taste pretty though,1,1.0
has finally started his,1,1.0
and button gets another,1,1.0
playing up and i,1,1.0
nt allowed in the,1,1.0
been busy and chained,1,1.0
now i dont get,1,1.0
yesterday and u didnt,1,2.0
just realised that i,1,1.0
little anyway either way,1,1.0
followfriday is easy enough,1,1.0
old days drinkin at,1,1.0
now if i can,1,1.0
left all my laffy,1,1.0
s up my name,1,1.0
my day oh fellow,1,1.0
in fs yet no,1,1.0
on youtube only the,1,1.0
red bulls amp i,1,1.0
gunna juhs so its,1,1.0
rosary with my family,1,1.0
video to harddrive to,1,1.0
on here i wish,1,1.0
be henpecking john even,1,1.0
to that one next,1,1.0
is mother s day,1,1.0
along with a little,1,1.0
my swag cloth would,1,1.0
playing quot the simpsons,1,1.0
on my appearance for,1,1.0
pass the worm haha,1,1.0
i know shrug maybe,1,1.0
swine flu is scaring,1,1.0
need to stretch and,1,1.0
but i will never,1,1.0
just moved back to,1,1.0
out thinking victoria day,1,1.0
wont dial the number,1,1.0
i def just cleaned,1,1.0
on the gadget show,1,6.0
was gon na be,1,5.0
ak flop comes i,1,1.0
how can that be,1,1.0
it is made just,1,1.0
summer of todd to,1,1.0
from taking nick home,1,1.0
out tonite so can,1,1.0
it s not awful,1,1.0
or maybe toast or,1,1.0
boogah can anyone contain,1,1.0
show radio is always,1,1.0
no bahama trip for,1,1.0
s been onee year,1,1.0
if you carry your,1,1.0
get up earlier like,1,1.0
try to front ii,1,1.0
playin in my head,1,1.0
my fingers n a,1,1.0
maybe you can deal,1,1.0
his magic glowing finger,1,1.0
but fun to watch,1,1.0
mind your manors so,1,1.0
check out all the,1,1.0
but i scored a,1,1.0
cyrus what s up,1,1.0
im gon na miss,1,1.0
movie for my book,1,1.0
hear ya dude i,1,1.0
saturday filled with tweetage,1,1.0
i ll let that,1,1.0
of honour after all,1,1.0
pong at with jess,1,1.0
nt like action plots,1,1.0
sound and shock waves,1,3.0
to seeing seann william,1,1.0
couch amp i have,1,1.0
but still have never,1,1.0
andd it s still,1,1.0
kinda sad cause this,1,1.0
time by seconds then,1,1.0
so i can see,1,1.0
and watch a movie,1,1.0
back to nambu which,1,1.0
soo out of character,1,1.0
at me dunno y,1,1.0
ll have to picnic,1,1.0
the airport i want,1,1.0
of of memory time,1,3.0
my motivation is returning,1,1.0
for some sleep ready,1,1.0
location thing through ubertwitter,1,1.0
opened up my browser,1,1.0
looked on your schedule,1,1.0
feel sorry for your,1,1.0
lame episodes but otherwise,1,1.0
am up for a,1,1.0
time french hour the,1,1.0
signing up for a,1,1.0
have the points yet,1,1.0
my milage ca nt,1,1.0
bums really do look,1,1.0
i ll keep ya,1,1.0
all going to have,1,1.0
phone i like my,1,1.0
today till i get,1,1.0
half men work experience,1,1.0
lap on the plane,1,1.0
may day bank holiday,1,1.0
i hope we go,1,1.0
weekend planting my garden,1,1.0
of us i ll,1,1.0
i needd foodd nd,1,1.0
just broke a bottle,1,1.0
m moving wo nt,1,1.0
will be open until,1,1.0
of you should give,1,1.0
totally going to bed,1,1.0
hehe yeah me too,1,1.0
i got another exam,1,1.0
dd chemistry did not,1,1.0
with those so it,1,1.0
day but lately i,1,1.0
na throw up got,1,1.0
i can have someone,1,1.0
brother more days till,1,1.0
evolution for the time,1,1.0
did nt betaread either,1,1.0
do nt announce and,1,1.0
b4 u head bak,1,1.0
topic for today is,1,1.0
what you mean my,1,1.0
i will see everyone,1,1.0
only reading it now,1,1.0
certain s charm i,1,8.0
pardon me sir but,1,2.0
with other tweeple who,1,1.0
also take place as,1,1.0
for rooftop boozin wish,1,1.0
to be there so,1,1.0
i m too far,1,1.0
of a lovehate relationship,1,1.0
perks us all up,1,1.0
the years h do,1,1.0
from twitter i think,1,1.0
breesaholic insomniac feels special,1,1.0
to two early morning,1,1.0
home yay hi guys,1,1.0
marvelous misadventures of flap,1,1.0
it back in pakistan,1,1.0
spammers season is called,1,1.0
exactly prime minister does,1,1.0
this is not the,1,1.0
location is closing on,1,1.0
finally feels like a,1,1.0
we can violently agree,1,1.0
tweet riot i ca,1,1.0
at burger king at,1,1.0
nt want to explode,1,1.0
on a diet of,1,2.0
friends wanted to try,1,1.0
to fast forward through,1,1.0
to be so hard,1,1.0
in a holiday mood,1,1.0
in u can run,1,1.0
a australia zoo buggy,1,1.0
lunch in the forrest,1,1.0
miss though lt nick,1,2.0
all stuffted up but,1,1.0
kid that everyone made,1,1.0
me myself and moi,1,1.0
hockey team i really,1,1.0
up in waraw or,1,2.0
you zero at this,1,1.0
too you just got,1,1.0
foods for only epic,1,1.0
and breakfasted about to,1,1.0
u guys r going,1,1.0
getting all dressed up,1,1.0
the gun now an,1,1.0
to both but i,1,1.0
could make so much,1,1.0
cant believe the thomas,1,1.0
nga lighting up is,1,1.0
hi wan na see,1,1.0
few min ago that,1,1.0
were on the same,1,1.0
quot my friend replied,1,1.0
been amazing oh well,1,1.0
supporter is not my,1,1.0
office in central london,1,1.0
next week i ll,1,1.0
have hours to go,1,1.0
ali in the twitter,1,1.0
touch and on my,1,1.0
only speaks hindinot my,1,1.0
s just something about,1,1.0
bed with my mommy,1,1.0
talk to my lovebug,1,1.0
such bit padestrian no,1,1.0
tonight me likey explosions,1,1.0
of social loafing lol,1,1.0
and picture and i,1,1.0
his creations and wit,1,1.0
fun with a companion,1,1.0
decent weekend new glasses,1,1.0
gon na be weeks,1,1.0
for another week visa,1,2.0
i ask an odd,1,1.0
traffic on friday sigghh,1,1.0
u gon na fire,1,1.0
i will recover easily,1,1.0
on the image database,1,3.0
uterus u wan na,1,38.0
got a busy day,1,1.0
blame you all got,1,1.0
btw nathanfillion is trying,1,1.0
rush jobs will still,1,1.0
ist super lustig du,1,1.0
parents take the cake,1,1.0
me renewal letters for,1,1.0
changing out of my,1,1.0
got back home bored,1,1.0
we re supposed to,1,1.0
to android being pushed,1,1.0
at the indian movie,1,1.0
i ve moved another,1,1.0
hey i got this,1,1.0
i m soo tiredd,1,1.0
get it to play,1,1.0
national train day URL,1,1.0
the suckiest class ever,1,1.0
wish i was a,1,1.0
na say hello to,1,1.0
prefer the address that,1,1.0
i might be branded,1,1.0
we went to palisades,1,1.0
saw star trek with,1,1.0
just right putz adoro,1,1.0
beer why must you,1,1.0
your bio you re,1,1.0
several times a week,1,3.0
s nothing for us,1,1.0
with melissa and amber,1,1.0
i read that and,1,1.0
twice now i bleed,1,1.0
broke at the house,1,1.0
mothers day is social,1,1.0
angels and demons movie,1,1.0
says bring your calculator,1,1.0
i m saying my,1,1.0
a trip to hawaii,1,1.0
for tomorrow morning jesus,1,1.0
do anything can you,1,1.0
watch the disney channel,1,1.0
piano in the morning,1,1.0
on dl i m,1,1.0
with my mommy and,1,1.0
on g reader with,1,14.0
forgot how much i,1,1.0
i fell asleep on,1,1.0
but can not afford,1,1.0
bought it today aswell,1,1.0
be on my visionbo,1,1.0
still i had fun,1,1.0
wan na be my,1,1.0
be moving to md,1,1.0
were coming to australia,1,1.0
quizzes lol grocery shopping,1,1.0
bk ha but love,1,1.0
now is miserable cus,1,1.0
slept like a baby,1,1.0
spanish the suckiest class,1,1.0
how am i getting,1,1.0
an i have a,1,1.0
maan i m exhausted,1,1.0
the show at whitby,1,1.0
love for sock summit,1,1.0
birthday is in days,1,1.0
is it that quiet,1,1.0
wanted a sausage mcmuffin,1,1.0
wth happened walking home,1,1.0
starts oh well i,1,1.0
URL me and ari,1,1.0
out for sat lunch,1,1.0
sonny you are a,1,1.0
aha ok i might,1,1.0
fun are you speaking,1,1.0
may be dieing please,1,1.0
do keep artist running,1,1.0
even worry about it,1,1.0
nt think it d,1,1.0
on the main screens,1,5.0
i saw this week,1,1.0
business hours rush jobs,1,1.0
but exercise and all,1,1.0
gym amp amp tanning,1,1.0
fingers at school when,1,1.0
gym starting the day,1,1.0
im pooped from moving,1,1.0
updates tonight lame compared,1,1.0
friday to come quick,1,1.0
probably why i m,1,1.0
for info purposes only,1,1.0
ca nt sleep just,1,1.0
in pre k lol,1,1.0
the things we went,1,1.0
nt sleep throat dry,1,1.0
day was cool a,1,1.0
go to atl mainly,1,1.0
do nt but i,1,1.0
frd how s you,1,1.0
ll cut with it,1,1.0
the people that are,1,1.0
off to spend with,1,1.0
working in the database,1,1.0
so he can hang,1,3.0
some new ones tod,1,1.0
does love spahkly gold,1,1.0
really need to get,1,1.0
re two years now,1,1.0
listening to permanent heart,1,1.0
sure you are toasties,1,2.0
wud always eat the,1,5.0
feeds i have a,1,1.0
great way to start,1,1.0
become omelettes and others,1,1.0
yes is ima guna,1,1.0
scan pics of her,1,1.0
a brighter note i,1,1.0
is another day and,1,1.0
wash shorts ca nt,1,1.0
ice tea with pumps,1,1.0
night i ll try,1,1.0
in the morning at,1,1.0
sulking over being single,1,1.0
quot somethings tellin me,1,1.0
gloomy out i m,1,1.0
the garden while reading,1,1.0
but least i only,1,1.0
not ok in daylight,1,1.0
name quot the twitter,1,1.0
time ok literally once,1,1.0
the way to my,1,1.0
me you know where,1,1.0
ganesh jaju quot and,1,1.0
having her in you,1,1.0
it at least they,1,1.0
i had half the,1,1.0
are on twitter we,1,1.0
grandma on the phone,1,1.0
we had todayy loveeya,1,1.0
a little romantic date,1,1.0
end of his first,1,1.0
be at work at,1,1.0
hahaha sa una lang,1,1.0
while since i heard,1,38.0
act in most buffy,1,1.0
re with a vampire,1,1.0
window any bright green,1,1.0
having sleep issues lately,1,1.0
check your email for,1,1.0
so i can hear,1,1.0
pray for tia rose,1,1.0
if mnet will show,1,1.0
records release i think,1,1.0
just so bittersweet lol,1,1.0
i go home and,1,1.0
still needs another hours,1,1.0
but she was all,1,1.0
ust saw a male,1,1.0
quot wipe the slate,1,1.0
exam on monday for,1,1.0
day of the year,1,1.0
the vending maching to,1,1.0
lesson then back to,1,1.0
i was like oh,1,1.0
find mondays are the,1,1.0
profitable day looking forward,1,1.0
of those daze well,1,1.0
i m considering buying,1,1.0
long beach graduation no,1,1.0
when there are more,1,1.0
of my stay to,1,1.0
no thedailyshow this week,1,1.0
guttah later on tonight,1,1.0
head back home my,1,38.0
almost over though URL,1,1.0
say hi to kimba,1,1.0
turn on optimized amp,1,1.0
and a refrigerator for,1,1.0
i am one in,1,1.0
being able to follow,1,1.0
nt do it should,1,1.0
the smoker going out,1,1.0
out to hollywood tonight,1,1.0
wall more amish built,1,1.0
live that i got,1,1.0
in a middle of,1,1.0
what do nt be,1,1.0
thanks i m self,1,1.0
earth will now unravel,1,1.0
out some code today,1,1.0
tank top all day,1,1.0
waited listening to wind,1,1.0
unlimited until further notice,1,1.0
so i m probably,1,1.0
i love it there,1,1.0
and yet constant quot,1,1.0
looking for a job,1,1.0
a pug buy me,1,1.0
new phone immediately off,1,1.0
na chill play xbox,1,1.0
twitter each evening the,1,1.0
weekend more to follow,1,1.0
lunch tomorrow at olive,1,1.0
freaking broke have fun,1,1.0
m a grammar nazi,1,1.0
sounds good maybe some,1,1.0
my ipod is about,1,1.0
later than i intended,1,1.0
isnt it never watched,1,1.0
tango icons in this,1,1.0
my eye hurt someone,1,1.0
take his driving test,1,1.0
acct this mornin got,1,1.0
a min i lost,1,1.0
cant find my red,1,1.0
now it s kinda,1,1.0
way i have a,1,1.0
back from school shemms,1,1.0
tried to kiss me,1,1.0
had a dream that,1,1.0
all my bamboozle pictures,1,1.0
time no more waterfall,1,1.0
the chicks hot so,1,1.0
is that time of,1,1.0
are going to become,1,1.0
home from that party,1,1.0
for my birthday dinner,1,1.0
done or cause we,1,1.0
chasing whores quot that,1,1.0
blackberry i need to,1,1.0
to the master i,1,1.0
need to get u,1,1.0
i divorce you x,1,1.0
to get to the,1,1.0
are you ready to,1,1.0
has a good heart,1,1.0
nt have the benefit,1,1.0
plus my car is,1,1.0
the live eagle cam,1,1.0
friends i hate how,1,1.0
down to my melbourne,1,1.0
a protein shake and,1,1.0
went for days im,1,1.0
out new minute maid,1,1.0
it they closing down,1,1.0
just got out of,1,1.0
and played sims till,1,1.0
can think of still,1,1.0
lt finaly back to,1,1.0
